  PID  SPID TTY          TIME CMD
 2945  2948 ?        00:00:01 gdbus
 3120  3120 ?        00:00:00 gdm-session-wor
 3120  3121 ?        00:00:00 gmain
 3120  3122 ?        00:00:00 gdbus
 3131  3131 ?        00:00:01 gnome-keyring-d
 3131  3132 ?        00:00:00 gmain
 3131  3418 ?        00:00:00 timer
 3131  3421 ?        00:00:00 gdbus
 3156  3156 ?        00:00:00 ibus-daemon
 3156  3159 ?        00:00:11 gmain
 3156  3167 ?        00:00:00 gdbus
 3161  3161 ?        00:00:00 ibus-dconf
 3161  3164 ?        00:00:00 gmain
 3161  3166 ?        00:00:00 gdbus
 3161  3168 ?        00:00:00 dconf worker
 3163  3163 ?        00:00:00 ibus-x11
 3163  3169 ?        00:00:00 gmain
 3163  3170 ?        00:00:00 gdbus
 3172  3172 ?        00:00:01 gnome-session-b
 3172  3392 ?        00:00:00 gmain
 3172  3393 ?        00:00:00 gdbus
 3172  3407 ?        00:00:00 dconf worker
 3182  3182 ?        00:00:00 dbus-launch
 3183  3183 ?        00:00:01 dbus-daemon
 3242  3242 ?        00:00:53 flexget
 3242  3408 ?        00:08:59 flexget
 3242  3409 ?        00:16:23 flexget
 3242  3410 ?        00:01:16 flexget
 3242  3411 ?        00:00:00 flexget
 3242 23435 ?        00:00:00 flexget
 3242  1771 ?        00:00:00 flexget
 3242  1913 ?        00:00:00 flexget
 3242 14527 ?        00:00:00 flexget
 3242 14648 ?        00:00:00 flexget
 3242 14316 ?        00:00:00 flexget
 3242 13173 ?        00:00:00 flexget
 3242 13297 ?        00:00:00 flexget
 3242 14103 ?        00:00:00 flexget
 3242 13765 ?        00:00:00 flexget
 3251  3251 ?        00:00:00 imsettings-daem
 3251  3252 ?        00:00:00 gmain
 3251  3253 ?        00:00:00 gdbus
 3251  3263 ?        00:00:00 dconf worker
 3255  3255 ?        00:00:00 gvfsd
 3255  3256 ?        00:00:00 gmain
 3255  3257 ?        00:00:00 gdbus
 3260  3260 ?        00:00:00 gvfsd-fuse
 3260  3273 ?        00:00:00 gvfsd-fuse
 3260  3274 ?        00:00:00 gvfsd-fuse
 3260  3275 ?        00:00:00 gmain
 3260  3276 ?        00:00:00 gdbus
 3260  3279 ?        00:00:00 gvfs-fuse-sub
 3352  3352 ?        00:00:03 ssh-agent
 3384  3384 ?        00:00:00 at-spi-bus-laun
 3384  3385 ?        00:00:00 dconf worker
 3384  3386 ?        00:00:00 gmain
 3384  3388 ?        00:00:00 gdbus
 3389  3389 ?        00:00:00 dbus-daemon
 3391  3391 ?        00:00:01 at-spi2-registr
 3391  3396 ?        00:00:00 gmain
 3391  3397 ?        00:00:00 gdbus
 3424  3424 ?        00:31:41 gnome-shell
 3424  3426 ?        00:00:00 gmain
 3424  3427 ?        00:00:00 dconf worker
 3424  3428 ?        00:00:03 gdbus
 3424  3443 ?        00:00:00 threaded-ml
 3424  3446 ?        00:00:00 JS Helper
 3424  3447 ?        00:00:00 JS Helper
 3424  3448 ?        00:00:00 JS Helper
 3424  3449 ?        00:00:00 JS Helper
 3424  3450 ?        00:00:00 JS Helper
 3424  3451 ?        00:00:00 JS Helper
 3424  3452 ?        00:00:00 JS Helper
 3424  3453 ?        00:00:00 JS Helper
 3424  3454 ?        00:00:00 JS Helper
 3424  3455 ?        00:00:00 JS Helper
 3424  3456 ?        00:00:00 JS Helper
 3424  3457 ?        00:00:00 JS Helper
 3424  4124 ?        00:00:17 gnome-shell
 3433  3433 ?        00:00:02 pulseaudio
 3433  3437 ?        00:00:03 alsa-sink-ALC89
 3433  3440 ?        00:00:00 alsa-source-ALC
 3458  3458 ?        00:00:00 krfcommd
 3460  3460 ?        00:00:00 ibus-daemon
 3460  3461 ?        00:00:11 gmain
 3460  3462 ?        00:00:00 gdbus
 3465  3465 ?        00:00:00 ibus-dconf
 3465  3470 ?        00:00:00 gmain
 3465  3471 ?        00:00:00 gdbus
 3465  3476 ?        00:00:00 dconf worker
 3467  3467 ?        00:00:00 ibus-x11
 3467  3478 ?        00:00:00 gmain
 3467  3479 ?        00:00:00 gdbus
 3469  3469 ?        00:00:00 ibus-portal
 3469  3472 ?        00:00:00 gmain
 3469  3475 ?        00:00:00 gdbus
 3481  3481 ?        00:00:00 xdg-permission-
 3481  3483 ?        00:00:00 gmain
 3481  3485 ?        00:00:00 gdbus
 3487  3487 ?        00:00:00 gnome-shell-cal
 3487  3488 ?        00:00:00 gnome-shell-cal
 3487  3489 ?        00:00:00 gmain
 3487  3491 ?        00:00:00 gdbus
 3487  3549 ?        00:00:00 dconf worker
 3487  3550 ?        00:00:00 gnome-shell-cal
 3487  3577 ?        00:00:00 gnome-shell-cal
 3493  3493 ?        00:00:00 evolution-sourc
 3493  3494 ?        00:00:00 evolution-sourc
 3493  3495 ?        00:00:00 dconf worker
 3493  3496 ?        00:00:00 gmain
 3493  3497 ?        00:00:00 gdbus
 3508  3508 ?        00:00:05 mission-control
 3508  3509 ?        00:00:00 gmain
 3508  3511 ?        00:00:00 gdbus
 3508  3514 ?        00:00:00 dconf worker
 3513  3513 ?        00:00:00 goa-daemon
 3513  3525 ?        00:00:00 goa-daemon
 3513  3526 ?        00:00:00 gmain
 3513  3528 ?        00:00:00 gdbus
 3513  3529 ?        00:00:00 dconf worker
 3516  3516 ?        00:06:42 gvfs-udisks2-vo
 3516  3517 ?        00:00:00 gmain
